method,k,n_probe,qps,recall,query_time_ms,speedup_vs_flat
IVF,1,1.0,3305.59,0.44,0.3,63.84
IVF,1,2.0,2275.22,0.58,0.44,43.94
IVF,1,4.0,1468.87,0.75,0.68,28.37
IVF,1,8.0,664.18,0.87,1.51,12.83
IVF,1,16.0,324.46,0.94,3.08,6.27
IVF,1,32.0,162.95,0.97,6.14,3.15
IVF,1,64.0,91.97,1.0,10.87,1.78
IVF,5,1.0,4493.43,0.445,0.22,92.2
IVF,5,2.0,2831.73,0.58,0.35,58.1
IVF,5,4.0,1381.59,0.75,0.72,28.35
IVF,5,8.0,752.64,0.87,1.33,15.44
IVF,5,16.0,414.3,0.94,2.41,8.5
IVF,5,32.0,193.13,0.97,5.18,3.96
IVF,5,64.0,106.1,1.0,9.42,2.18
IVF,10,1.0,4581.03,0.445,0.22,93.95
IVF,10,2.0,2864.2,0.58,0.35,58.74
IVF,10,4.0,1621.82,0.75,0.62,33.26
IVF,10,8.0,751.58,0.87,1.33,15.41
IVF,10,16.0,353.53,0.94,2.83,7.25
IVF,10,32.0,200.19,0.97,5.0,4.11
IVF,10,64.0,101.01,1.0,9.9,2.07
IVF,50,1.0,3800.15,0.445,0.26,77.4
IVF,50,2.0,2294.55,0.58,0.44,46.74
IVF,50,4.0,1416.49,0.75,0.71,28.85
IVF,50,8.0,704.22,0.87,1.42,14.34
IVF,50,16.0,381.64,0.94,2.62,7.77
IVF,50,32.0,188.15,0.97,5.31,3.83
IVF,50,64.0,106.42,1.0,9.4,2.17
IVF,100,1.0,3897.51,0.445,0.26,81.39
IVF,100,2.0,2484.34,0.58,0.4,51.88
IVF,100,4.0,1617.99,0.75,0.62,33.79
IVF,100,8.0,761.6,0.87,1.31,15.9
IVF,100,16.0,396.69,0.94,2.52,8.28
IVF,100,32.0,208.12,0.97,4.8,4.35
IVF,100,64.0,106.43,1.0,9.4,2.22
Flat,1,,51.78,1.0,19.31,1.0
Flat,5,,48.73,1.0,20.52,1.0
Flat,10,,48.76,1.0,20.51,1.0
Flat,50,,49.1,1.0,20.37,1.0
Flat,100,,47.88,1.0,20.88,1.0
